DBpedia_Company_ID,company,locationCity,locationCountry,keyPeople,foundingYear,industry,revenue,numberOfEmployees,asset
DBpedia_Company_42,http://dbpedia.org/resource/RealD,,,,2003,,,,
DBpedia_Company_43,http://dbpedia.org/resource/Zany_Brainy,,,,1991,http://dbpedia.org/resource/Retail,,,
DBpedia_Company_44,http://dbpedia.org/resource/Borealis_Records,,,,1996,,,,
DBpedia_Company_45,http://dbpedia.org/resource/Synanon,,,"Charles Dederich, Sr.",1958,,,,
DBpedia_Company_46,http://dbpedia.org/resource/Roxtec_UK,http://dbpedia.org/resource/Bury,United Kingdom,,2005,,,,
DBpedia_Company_47,http://dbpedia.org/resource/TrustedPeer,http://dbpedia.org/resource/San_Francisco,United States,,2011,,,,
DBpedia_Company_48,http://dbpedia.org/resource/China_National_Materials_Group_Corporation,http://dbpedia.org/resource/Beijing,http://dbpedia.org/resource/China,Chairman: Mr. Tan Zhongming,1983,http://dbpedia.org/resource/Cement;;http://dbpedia.org/resource/Engineering,,48084,
DBpedia_Company_49,http://dbpedia.org/resource/Skycap_records,,,,,,,,
DBpedia_Company_50,http://dbpedia.org/resource/Services_automobiles_de_la_vall%C3%A9e_de_Chevreuse,http://dbpedia.org/resource/Chevreuse;;http://dbpedia.org/resource/Essonne,France,,,,,,
DBpedia_Company_51,http://dbpedia.org/resource/Littelfuse,,,CEO Gordon Hunter,1927,http://dbpedia.org/resource/Automotive_industry;;http://dbpedia.org/resource/Electricity;;http://dbpedia.org/resource/Electronics;;http://dbpedia.org/resource/Silicon,6.68E+08,7000,
DBpedia_Company_52,http://dbpedia.org/resource/Giga_(company),,,,,http://dbpedia.org/resource/PC_game,,,
DBpedia_Company_53,http://dbpedia.org/resource/Hermes_Records,,,,1999,,,,
DBpedia_Company_54,http://dbpedia.org/resource/International_Commission_on_the_History_of_Geological_Sciences,,,President - Prof. Kennneth L. Taylor;;Secretary-General - Dr. Barry J. Cooper,1967,http://dbpedia.org/resource/Geology;;http://dbpedia.org/resource/History,,,
DBpedia_Company_55,http://dbpedia.org/resource/St_James_Music_Press,,,,,,,,
