DBPedia_Company_ID,company,locationCity,locationCountry,keyPeople,foundingYear,industry,revenue,numberOfEmployees,asset
DBPedia_Company_33,http://dbpedia.org/resource/1st_Round_Enterprises,http://dbpedia.org/resource/Los_Angeles,http://dbpedia.org/resource/United_States,Streling Brewster;;Teague Egan;;Zack Johnson,2009,,,,
DBPedia_Company_34,http://dbpedia.org/resource/1-UP_Studio,Tokyo,Japan,Futoshi Yamaguchi;;Gen Kadoi;;Keizo Kato;;President;;Representative Auditor;;Representative Directors;;http://dbpedia.org/resource/Yoshiaki_Koizumi,2000,http://dbpedia.org/resource/Video_game_industry,,25,
DBPedia_Company_35,http://dbpedia.org/resource/2000_Flushes,"http://dbpedia.org/resource/Passaic,_New_Jersey",http://dbpedia.org/resource/United_States,,,http://dbpedia.org/resource/Cleaning_agent,,,
DBPedia_Company_36,http://dbpedia.org/resource/20th_Century_Fox_Television,http://dbpedia.org/resource/Los_Angeles,http://dbpedia.org/resource/United_States,"Dana Walden and Gary Newman, co-chairs",1949,http://dbpedia.org/resource/Television_program,1.17E+10,,
DBPedia_Company_37,http://dbpedia.org/resource/21st_Century_Fox,http://dbpedia.org/resource/New_York_City,United States,,,http://dbpedia.org/resource/Mass_media,,,
DBPedia_Company_38,http://dbpedia.org/resource/21st_Century_Newspapers,"http://dbpedia.org/resource/Pontiac,_Michigan",http://dbpedia.org/resource/United_States,"Frank Shepherd, Chairman and CEO; Doug Haensel, President and COO",1995,,,,
DBPedia_Company_39,http://dbpedia.org/resource/24_Frames_Factory,http://dbpedia.org/resource/Hyderabad,India,http://dbpedia.org/resource/Manchu_Vishnu,2007,http://dbpedia.org/resource/Entertainment,,,
DBPedia_Company_40,http://dbpedia.org/resource/24_Hour_Fitness,"http://dbpedia.org/resource/San_Ramon,_California",USA,"Mark Smith, CEO",1979,,,20000,
DBPedia_Company_41,http://dbpedia.org/resource/29West,"Warrenville, Illinois",USA,"Mark Mahowald, Founder & CEO;;Todd Montgomery, Principal Software Architect",2002,http://dbpedia.org/resource/Software,,50,
DBPedia_Company_42,http://dbpedia.org/resource/2K_Games,"http://dbpedia.org/resource/California;;http://dbpedia.org/resource/Novato,_California",http://dbpedia.org/resource/United_States,"Christoph Hartmann , David Ismailer",2005,http://dbpedia.org/resource/Interactive_entertainment;;http://dbpedia.org/resource/Video_game_industry,,,
