"[0] CompanyNameComparator","[1] CompanyCountriesComparator","[2] CompanyIndustriesComparator","[3] CompanyNumericAttributeComparator","[4] CompanyNumericAttributeComparator","finalValue","id1","id2","isMatch","label"
"1.0","1.0","0.6666666666666667","0.0","0.0","1.0683333333333334","Forbes_Company_26","Freebase_Company_3001","true","1"
"0.4285714285714286","1.0","0.23076923076923073","0.16803827751196176","0.4905509715198296","0.469934065934066","Forbes_Company_169","Freebase_Company_41","false","1"
"0.19047619047619047","0.0","0.0","0.0","0.0","-0.017619047619047618","Forbes_Company_1235","Freebase_Company_1281","false","0"
"1.0","1.0","0.2142857142857143","0.0","0.0","0.946642857142857","Forbes_Company_7","Freebase_Company_1201","true","1"
"1.0","1.0","0.5882352941176471","0.0","0.0","1.047235294117647","Forbes_Company_35","Freebase_Company_1425","true","1"
"1.0","1.0","0.2857142857142857","0.6962737642585551","0.0","0.9658571428571427","Forbes_Company_51","Freebase_Company_2634","true","1"
"1.0","1.0","0.22857142857142854","0.017478260869565165","0.0","0.9504857142857142","Forbes_Company_100","Freebase_Company_2804","true","1"
"0.33333333333333337","0.0","0.09999999999999998","0.0","0.0","0.1295666666666667","Forbes_Company_17","Freebase_Company_2866","false","0"
"0.1333333333333333","0.0","0.0","0.0","0.0","-0.06573333333333335","Forbes_Company_1987","Freebase_Company_450","false","0"
"0.1428571428571429","0.0","0.0","0.0","0.0","-0.057714285714285676","Forbes_Company_1230","Freebase_Company_233","false","0"
"1.0","0.0","0.37142857142857144","0.0","0.0","0.7639142857142857","Forbes_Company_72","Freebase_Company_356","true","1"
"1.0","1.0","0.23809523809523814","0.0","0.0","0.9530476190476189","Forbes_Company_1983","Freebase_Company_1161","true","1"
"1.0","0.0","0.08695652173913049","0.03047368421052632","0.0","0.687391304347826","Forbes_Company_1951","Freebase_Company_1773","false","0"
"1.0","1.0","0.21276595744680848","0.7993142032124165","0.2686666666666667","0.9462340425531914","Forbes_Company_53","Freebase_Company_2523","true","1"
"0.19047619047619047","0.0","0.0","0.0","0.0","-0.017619047619047618","Forbes_Company_14","Freebase_Company_1398","false","0"
"1.0","1.0","0.36","0.08668941979522182","0.0","0.9858399999999999","Forbes_Company_14","Freebase_Company_1397","true","1"
"0.3076923076923077","0.0","0.16666666666666663","0.0","0.0","0.12591025641025644","Forbes_Company_14","Freebase_Company_1399","false","0"
"0.04347826086956519","0.0","0.1578947368421053","0.0","0.0","-0.09891762013729977","Forbes_Company_1980","Freebase_Company_173","false","0"
"0.8571428571428572","1.0","0.16666666666666663","0.0","0.0","0.8135476190476191","Forbes_Company_46","Freebase_Company_1515","true","1"
