"Freddie Mac","Freddie Mac","0.8269333333333334"
"Penske Automotive","Delphi Automotive","0.5111753646018599"
"All Nippon Airways","All Nippon Airways","0.8093846153846154"
"Novartis","Novartis AG","0.5875237641939213"
"Bank Central Asia","Bank Central Asia","0.8105"
"Schneider Electric","Schneider Electric","0.8054054054054054"
"Emerson Electric","General Electric","0.5229308789967587"
"Celgene","Celgene","0.8193135178558388"
"Skanska","Skanska","0.8281896692194883"
"Mitsubishi Motors","Mitsubishi Motors","0.8213750000000001"
"KT Corp","LG Corp","0.5189444444444444"
"Rogers Communications","Rogers Communications","0.8343943661971831"
"Shanghai International Port","Shanghai International Port (Group)","0.5888421052631579"
"Dexia","Dexia","0.8265319246669729"
"Ambac Financial Group","Ally Financial Inc.","0.5354651493598863"
"Dick's Sporting Goods","Dick's Sporting Goods","0.8438168817530773"
"NVIDIA","NVIDIA","0.8106407766990291"
"Baker Hughes","Baker Hughes","0.8172350436925835"
"Richemont","Richemont","0.796"
"Oracle","Oracle Corporation","0.827981744966443"
"Supervalu","SuperValu","0.8321059602649007"
"Kroger","Kroger","0.831258358662614"
"Texas Instruments","Texas Instruments","0.8235341149336921"
"China Pacific Insurance","China Life Insurance Company","0.6136010188029066"
"Siemens","Siemens","0.8163078935881778"
"DTE Energy","Xcel Energy","0.5404164648910412"
"DTE Energy","TXU Energy","0.5445027196687099"
"LS Corp","LG Corp","0.6381052631578948"
"Google","Google","0.8165196489388955"
"American Express","American Express","0.8420000000000001"
"US Bancorp","U.S. Bancorp","0.820700808625337"
"Toshiba","Toshiba","0.8121358854753097"
"Bank of Nanjing","Bank of Beijing","0.6173760379596679"
"Kyushu Electric Power","Chubu Electric Power","0.6388072727272728"
"ItaÃº Unibanco Holding","Itaú Unibanco","0.6425454545454546"
"Tele2","Tele2","0.8890223642172524"
"Travelers Cos","The Travelers Companies","0.5477788560418816"
"Deutsche Boerse","Deutsche Bank","0.5141310744538565"
"Deutsche Boerse","Deutsche Post","0.5612180451127821"
"Repsol YPF","Repsol YPF S.A.","0.5671147540983605"
"Saint-Gobain","Saint-Gobain","0.8143157894736842"
"DP World","DP World","0.796"
"Canadian National Railway","Canadian National Railway","0.833750415236408"
"L-3 Communications","Cogent Communications","0.5226982515510434"
"Shaw Communications","Rogers Communications","0.5162346083788707"
"SK Telecom","SK Telecom","0.8657293583987309"
"Kansai Electric Power","Chubu Electric Power","0.5571717171717172"
"General Electric","General Electric","0.8142824701462202"
"Daikin Industries","Daikin","0.8147814185536184"
"Dean Foods","Kraft Foods","0.5062519268032913"
"Tohoku Electric Power","Chubu Electric Power","0.6388072727272728"
"Caesars Entertainment","Regal Entertainment Group","0.5565811965811965"
"Caesars Entertainment","Marvel Entertainment","0.5222905982905983"
"Caesars Entertainment","Sonar Entertainment","0.5565811965811965"
"Caesars Entertainment","Blizzard Entertainment","0.5304392324093817"
"Caesars Entertainment","Caesars Entertainment Corporation","0.8155565056291864"
"Caesars Entertainment","Crisher Entertainment","0.5565811965811965"
"Fraport","Fraport","0.8296774193548387"
"China Life Insurance","China Life Insurance Company","0.847886733088621"
"BAE Systems","BAE Systems","0.8407827698008338"
"Kone","Kone","0.8153333333333334"
"Nippon Telegraph & Tel","Nippon Telegraph and Telephone","0.5862531334480217"
"Monsanto","Monsanto","0.818409090909091"
"Anadarko Petroleum","Anadarko Petroleum","0.8131147540983606"
"BorgWarner","BorgWarner Inc.","0.8203395997574288"
"Level 3 Communications","Cogent Communications","0.5581113801452785"
"Level 3 Communications","Verizon Communications","0.5682274865936595"
"Vivendi","Vivendi","0.8358762886597939"
"Broadcom","Broadcom","0.8234541577825161"
"Johnson & Johnson","Johnson &amp; Johnson","0.6012019512195123"
"PepsiCo","Pepco Holdings","0.5244444444444445"
"PepsiCo","PepsiCo","0.8589714285714286"
